,STAT_CAUSE_DESCR
305738,Lightning
305739,Children
305740,Lightning
305741,Lightning
305742,Lightning
305743,Lightning
305744,Lightning
305745,Lightning
305746,Lightning
305747,Miscellaneous
305748,Lightning
305749,Lightning
305750,Arson
305751,Structure
305752,Lightning
305753,Campfire
305754,Lightning
305755,Lightning
305756,Lightning
305757,Lightning
305758,Lightning
305759,Lightning
305760,Lightning
305761,Lightning
305762,Lightning
305763,Campfire
305764,Campfire
305765,Lightning
305766,Campfire
305767,Lightning
305768,Lightning
305769,Arson
305770,Lightning
305771,Lightning
305772,Lightning
305773,Lightning
305774,Campfire
305775,Arson
305776,Lightning
305777,Campfire
305778,Campfire
305779,Debris Burning
305780,Campfire
305781,Campfire
305782,Campfire
305783,Arson
305784,Powerline
305785,Equipment Use
305786,Equipment Use
305787,Equipment Use
305788,Campfire
305789,Children
305790,Debris Burning
305791,Lightning
305792,Lightning
305793,Lightning
305794,Children
305795,Arson
305796,Miscellaneous
305797,Arson
305798,Miscellaneous
305799,Miscellaneous
305800,Lightning
305801,Lightning
305802,Miscellaneous
305803,Lightning
305804,Lightning
305805,Equipment Use
305806,Lightning
305807,Lightning
305808,Children
305809,Campfire
305810,Debris Burning
305811,Lightning
305812,Lightning
305813,Lightning
305814,Lightning
305815,Lightning
305816,Lightning
305817,Lightning
305818,Lightning
305819,Lightning
305820,Lightning
305821,Lightning
305822,Lightning
305823,Lightning
305824,Lightning
305825,Lightning
305826,Lightning
305827,Lightning
305828,Lightning
305829,Lightning
305830,Lightning
305831,Lightning
305832,Lightning
305833,Lightning
305834,Lightning
305835,Lightning
305836,Lightning
305837,Lightning
305838,Lightning
305839,Lightning
305840,Lightning
305841,Lightning
305842,Lightning
305843,Lightning
305844,Lightning
305845,Lightning
305846,Lightning
305847,Lightning
305848,Lightning
305849,Lightning
305850,Lightning
305851,Lightning
305852,Lightning
305853,Lightning
305854,Lightning
305855,Lightning
305856,Lightning
305857,Lightning
305858,Lightning
305859,Lightning
305860,Lightning
305861,Lightning
305862,Lightning
305863,Lightning
305864,Lightning
305865,Lightning
305866,Lightning
305867,Lightning
305868,Lightning
305869,Lightning
305870,Lightning
305871,Lightning
305872,Lightning
305873,Lightning
305874,Lightning
305875,Lightning
305876,Lightning
305877,Lightning
305878,Lightning
305879,Lightning
305880,Lightning
305881,Lightning
305882,Lightning
305883,Lightning
305884,Lightning
305885,Lightning
305886,Lightning
305887,Lightning
305888,Lightning
305889,Lightning
305890,Lightning
305891,Lightning
305892,Lightning
305893,Lightning
305894,Lightning
305895,Lightning
305896,Lightning
305897,Lightning
305898,Lightning
305899,Lightning
305900,Lightning
305901,Lightning
305902,Lightning
305903,Lightning
305904,Lightning
305905,Lightning
305906,Lightning
305907,Lightning
305908,Lightning
305909,Lightning
305910,Lightning
305911,Lightning
305912,Lightning
305913,Lightning
305914,Lightning
305915,Lightning
305916,Lightning
305917,Lightning
305918,Lightning
305919,Lightning
305920,Lightning
305921,Lightning
305922,Lightning
305923,Lightning
305924,Lightning
305925,Lightning
305926,Lightning
305927,Lightning
305928,Lightning
305929,Lightning
305930,Lightning
305931,Lightning
305932,Lightning
305933,Lightning
305934,Lightning
305935,Lightning
305936,Lightning
305937,Lightning
305938,Lightning
305939,Lightning
305940,Lightning
305941,Lightning
305942,Lightning
305943,Lightning
305944,Lightning
305945,Lightning
305946,Miscellaneous
305947,Lightning
305948,Lightning
305949,Lightning
305950,Lightning
305951,Lightning
305952,Lightning
305953,Lightning
305954,Lightning
305955,Lightning
305956,Campfire
305957,Lightning
305958,Lightning
305959,Lightning
305960,Lightning
305961,Lightning
305962,Lightning
305963,Lightning
305964,Lightning
305965,Lightning
305966,Miscellaneous
305967,Lightning
305968,Lightning
305969,Lightning
305970,Lightning
305971,Lightning
305972,Lightning
305973,Lightning
305974,Lightning
305975,Lightning
305976,Lightning
305977,Lightning
305978,Lightning
305979,Lightning
305980,Arson
305981,Miscellaneous
305982,Lightning
305983,Lightning
305984,Lightning
305985,Lightning
305986,Lightning
305987,Lightning
305988,Lightning
305989,Lightning
305990,Lightning
305991,Lightning
305992,Lightning
305993,Lightning
305994,Lightning
305995,Lightning
305996,Lightning
305997,Lightning
305998,Lightning
305999,Lightning
306000,Lightning
306001,Lightning
306002,Lightning
306003,Lightning
306004,Lightning
306005,Lightning
306006,Lightning
306007,Lightning
306008,Lightning
306009,Lightning
306010,Lightning
306011,Lightning
306012,Miscellaneous
306013,Lightning
306014,Lightning
306015,Lightning
306016,Lightning
306017,Lightning
306018,Lightning
306019,Lightning
306020,Lightning
306021,Campfire
306022,Lightning
306023,Lightning
306024,Lightning
306025,Lightning
306026,Smoking
306027,Lightning
306028,Lightning
306029,Lightning
306030,Lightning
306031,Miscellaneous
306032,Lightning
306033,Lightning
306034,Lightning
306035,Lightning
306036,Lightning
306037,Lightning
306038,Lightning
306039,Lightning
306040,Lightning
306041,Miscellaneous
306042,Lightning
306043,Lightning
306044,Miscellaneous
306045,Campfire
306046,Lightning
306047,Structure
306048,Lightning
306049,Arson
306050,Debris Burning
306051,Arson
306052,Arson
306053,Arson
306054,Debris Burning
306055,Arson
306056,Fireworks
306057,Arson
306058,Arson
306059,Arson
306060,Fireworks
306061,Campfire
306062,Missing/Undefined
306063,Railroad
306064,Debris Burning
306065,Debris Burning
306066,Debris Burning
306067,Miscellaneous
306068,Debris Burning
306069,Debris Burning
306070,Lightning
306071,Campfire
306072,Campfire
306073,Campfire
306074,Miscellaneous
306075,Missing/Undefined
306076,Arson
306077,Campfire
306078,Campfire
306079,Lightning
306080,Debris Burning
306081,Lightning
306082,Arson
306083,Lightning
306084,Lightning
306085,Lightning
306086,Lightning
306087,Lightning
306088,Lightning
306089,Lightning
306090,Lightning
306091,Lightning
306092,Lightning
306093,Lightning
306094,Lightning
306095,Lightning
306096,Lightning
306097,Lightning
306098,Lightning
306099,Lightning
306100,Lightning
306101,Lightning
306102,Lightning
306103,Lightning
306104,Arson
306105,Arson
306106,Lightning
306107,Lightning
306108,Lightning
306109,Lightning
306110,Miscellaneous
306111,Equipment Use
306112,Lightning
306113,Campfire
306114,Arson
306115,Arson
306116,Lightning
306117,Children
306118,Campfire
306119,Arson
306120,Arson
306121,Arson
306122,Campfire
306123,Arson
306124,Campfire
306125,Debris Burning
306126,Arson
306127,Arson
306128,Campfire
306129,Arson
306130,Arson
306131,Arson
306132,Arson
306133,Arson
306134,Arson
306135,Arson
306136,Arson
306137,Arson
306138,Missing/Undefined
306139,Missing/Undefined
306140,Missing/Undefined
306141,Missing/Undefined
306142,Missing/Undefined
306143,Missing/Undefined
306144,Lightning
306145,Missing/Undefined
306146,Missing/Undefined
306147,Missing/Undefined
306148,Missing/Undefined
306149,Lightning
306150,Lightning
306151,Missing/Undefined
306152,Missing/Undefined
306153,Missing/Undefined
306154,Lightning
306155,Lightning
306156,Lightning
306157,Missing/Undefined
306158,Lightning
306159,Lightning
306160,Lightning
306161,Lightning
306162,Lightning
306163,Lightning
306164,Lightning
306165,Lightning
306166,Lightning
306167,Lightning
306168,Lightning
306169,Lightning
306170,Lightning
306171,Lightning
306172,Missing/Undefined
306173,Lightning
306174,Lightning
306175,Lightning
306176,Lightning
306177,Lightning
306178,Lightning
306179,Lightning
306180,Lightning
306181,Lightning
306182,Lightning
306183,Lightning
306184,Lightning
306185,Lightning
306186,Lightning
306187,Lightning
306188,Lightning
306189,Lightning
306190,Lightning
306191,Lightning
306192,Missing/Undefined
306193,Lightning
306194,Lightning
306195,Lightning
306196,Lightning
306197,Lightning
306198,Lightning
306199,Lightning
306200,Lightning
306201,Lightning
306202,Lightning
306203,Lightning
306204,Lightning
306205,Lightning
306206,Lightning
306207,Lightning
306208,Missing/Undefined
306209,Lightning
306210,Lightning
306211,Lightning
306212,Lightning
306213,Lightning
306214,Lightning
306215,Lightning
306216,Lightning
306217,Lightning
306218,Lightning
306219,Lightning
306220,Lightning
306221,Lightning
306222,Lightning
306223,Lightning
306224,Lightning
306225,Lightning
306226,Lightning
306227,Lightning
306228,Lightning
306229,Lightning
306230,Lightning
306231,Lightning
306232,Lightning
306233,Lightning
306234,Lightning
306235,Lightning
306236,Lightning
306237,Lightning
306238,Lightning
306239,Lightning
306240,Lightning
306241,Lightning
306242,Lightning
306243,Lightning
306244,Lightning
306245,Lightning
306246,Lightning
306247,Lightning
306248,Lightning
306249,Lightning
306250,Lightning
306251,Lightning
306252,Lightning
306253,Lightning
306254,Lightning
306255,Lightning
306256,Lightning
306257,Lightning
306258,Lightning
306259,Lightning
306260,Lightning
306261,Lightning
306262,Lightning
306263,Lightning
306264,Lightning
306265,Lightning
306266,Lightning
306267,Lightning
306268,Lightning
306269,Lightning
306270,Lightning
306271,Lightning
306272,Lightning
306273,Lightning
306274,Lightning
306275,Lightning
306276,Lightning
306277,Lightning
306278,Lightning
306279,Lightning
306280,Lightning
306281,Lightning
306282,Lightning
306283,Lightning
306284,Lightning
306285,Lightning
306286,Lightning
306287,Lightning
306288,Lightning
306289,Lightning
306290,Lightning
306291,Lightning
306292,Lightning
306293,Lightning
306294,Lightning
306295,Lightning
306296,Lightning
306297,Lightning
306298,Missing/Undefined
306299,Lightning
306300,Lightning
306301,Lightning
306302,Lightning
306303,Lightning
306304,Lightning
306305,Lightning
306306,Lightning
306307,Lightning
306308,Lightning
306309,Lightning
306310,Lightning
306311,Lightning
306312,Lightning
306313,Lightning
306314,Lightning
306315,Lightning
306316,Lightning
306317,Lightning
306318,Lightning
306319,Lightning
306320,Missing/Undefined
306321,Lightning
306322,Lightning
306323,Lightning
306324,Lightning
306325,Lightning
306326,Lightning
306327,Lightning
306328,Lightning
306329,Missing/Undefined
306330,Lightning
306331,Campfire
306332,Lightning
306333,Lightning
306334,Lightning
306335,Lightning
306336,Lightning
306337,Arson
306338,Lightning
306339,Lightning
306340,Missing/Undefined
306341,Campfire
306342,Lightning
306343,Missing/Undefined
306344,Lightning
306345,Missing/Undefined
306346,Lightning
306347,Missing/Undefined
306348,Missing/Undefined
306349,Miscellaneous
306350,Missing/Undefined
306351,Arson
306352,Arson
306353,Arson
306354,Arson
306355,Arson
306356,Miscellaneous
306357,Arson
306358,Arson
306359,Campfire
306360,Arson
306361,Arson
306362,Arson
306363,Arson
306364,Arson
306365,Arson
306366,Arson
306367,Arson
306368,Arson
306369,Powerline
306370,Missing/Undefined
306371,Arson
306372,Arson
306373,Lightning
306374,Lightning
306375,Debris Burning
306376,Campfire
306377,Missing/Undefined
306378,Structure
306379,Campfire
306380,Arson
306381,Miscellaneous
306382,Debris Burning
306383,Arson
306384,Arson
306385,Missing/Undefined
306386,Missing/Undefined
306387,Campfire
306388,Arson
306389,Miscellaneous
306390,Lightning
306391,Lightning
306392,Lightning
306393,Arson
306394,Lightning
306395,Miscellaneous
306396,Arson
306397,Arson
306398,Lightning
306399,Lightning
306400,Lightning
306401,Lightning
306402,Lightning
306403,Lightning
306404,Lightning
306405,Lightning
306406,Missing/Undefined
306407,Lightning
306408,Debris Burning
306409,Arson
306410,Lightning
306411,Lightning
306412,Campfire
306413,Lightning
306414,Lightning
306415,Lightning
306416,Lightning
306417,Lightning
306418,Lightning
306419,Lightning
306420,Campfire
306421,Lightning
306422,Lightning
306423,Lightning
306424,Lightning
306425,Lightning
306426,Lightning
306427,Lightning
306428,Lightning
306429,Lightning
306430,Lightning
306431,Lightning
306432,Lightning
306433,Lightning
306434,Lightning
306435,Lightning
306436,Lightning
306437,Lightning
306438,Lightning
306439,Lightning
306440,Lightning
306441,Lightning
306442,Lightning
306443,Lightning
306444,Lightning
306445,Lightning
306446,Lightning
306447,Lightning
306448,Lightning
306449,Lightning
306450,Lightning
306451,Lightning
306452,Lightning
306453,Lightning
306454,Lightning
306455,Arson
306456,Lightning
306457,Lightning
306458,Lightning
306459,Lightning
306460,Lightning
306461,Lightning
306462,Lightning
306463,Arson
306464,Campfire
306465,Lightning
306466,Arson
306467,Missing/Undefined
306468,Arson
306469,Lightning
306470,Missing/Undefined
306471,Campfire
306472,Missing/Undefined
306473,Missing/Undefined
306474,Equipment Use
306475,Campfire
306476,Arson
306477,Arson
306478,Arson
306479,Arson
306480,Arson
306481,Arson
306482,Arson
306483,Arson
306484,Arson
306485,Arson
306486,Arson
306487,Missing/Undefined
306488,Arson
306489,Arson
306490,Arson
306491,Smoking
306492,Miscellaneous
306493,Missing/Undefined
306494,Missing/Undefined
306495,Debris Burning
306496,Missing/Undefined
306497,Missing/Undefined
306498,Missing/Undefined
306499,Lightning
306500,Campfire
306501,Debris Burning
306502,Lightning
306503,Lightning
306504,Missing/Undefined
306505,Campfire
306506,Lightning
306507,Lightning
306508,Lightning
306509,Missing/Undefined
306510,Lightning
306511,Missing/Undefined
306512,Lightning
306513,Lightning
306514,Missing/Undefined
306515,Lightning
306516,Arson
306517,Missing/Undefined
306518,Arson
306519,Missing/Undefined
306520,Powerline
306521,Campfire
306522,Children
306523,Lightning
306524,Lightning
306525,Lightning
306526,Lightning
306527,Lightning
306528,Lightning
306529,Lightning
306530,Lightning
306531,Lightning
306532,Lightning
306533,Lightning
306534,Lightning
306535,Lightning
306536,Lightning
306537,Lightning
306538,Lightning
306539,Lightning
306540,Lightning
306541,Arson
306542,Children
306543,Lightning
306544,Lightning
306545,Lightning
306546,Lightning
306547,Lightning
306548,Lightning
306549,Lightning
306550,Lightning
306551,Lightning
306552,Lightning
306553,Lightning
306554,Lightning
306555,Lightning
306556,Lightning
306557,Lightning
306558,Lightning
306559,Lightning
306560,Lightning
306561,Lightning
306562,Lightning
306563,Lightning
306564,Lightning
306565,Fireworks
306566,Lightning
306567,Lightning
306568,Miscellaneous
306569,Lightning
306570,Lightning
306571,Lightning
306572,Lightning
306573,Lightning
306574,Lightning
306575,Lightning
306576,Lightning
306577,Lightning
306578,Lightning
306579,Lightning
306580,Lightning
306581,Lightning
306582,Lightning
306583,Lightning
306584,Lightning
306585,Lightning
306586,Lightning
306587,Lightning
306588,Lightning
306589,Lightning
306590,Lightning
306591,Lightning
306592,Missing/Undefined
306593,Lightning
306594,Lightning
306595,Lightning
306596,Lightning
306597,Lightning
306598,Lightning
306599,Lightning
306600,Campfire
306601,Lightning
306602,Lightning
306603,Campfire
306604,Lightning
306605,Lightning
306606,Lightning
306607,Lightning
306608,Lightning
306609,Lightning
306610,Lightning
306611,Lightning
306612,Lightning
306613,Miscellaneous
306614,Lightning
306615,Lightning
306616,Lightning
306617,Lightning
306618,Lightning
306619,Lightning
306620,Missing/Undefined
306621,Lightning
306622,Lightning
306623,Lightning
306624,Lightning
306625,Lightning
306626,Lightning
306627,Lightning
306628,Equipment Use
306629,Lightning
306630,Lightning
306631,Lightning
306632,Missing/Undefined
306633,Lightning
306634,Lightning
306635,Lightning
306636,Lightning
306637,Arson
306638,Miscellaneous
306639,Missing/Undefined
306640,Lightning
306641,Lightning
306642,Powerline
306643,Lightning
306644,Lightning
306645,Lightning
306646,Lightning
306647,Lightning
306648,Lightning
306649,Lightning
306650,Lightning
306651,Miscellaneous
306652,Arson
306653,Arson
350855,Lightning
350856,Lightning
350857,Lightning
350858,Equipment Use
350859,Campfire
350860,Lightning
350861,Powerline
350862,Lightning
350863,Lightning
350864,Lightning
350865,Lightning
350866,Lightning
350867,Lightning
350868,Lightning
350869,Lightning
350870,Lightning
350871,Lightning
350872,Lightning
350873,Lightning
350874,Lightning
350875,Debris Burning
350876,Missing/Undefined
350877,Miscellaneous
350878,Smoking
350879,Campfire
350880,Campfire
350881,Debris Burning
350882,Lightning
350883,Lightning
350884,Lightning
350885,Campfire
350886,Lightning
350887,Lightning
350888,Lightning
350889,Lightning
350890,Lightning
350891,Lightning
350892,Lightning
350893,Lightning
350894,Lightning
350895,Lightning
350896,Lightning
350897,Structure
350898,Structure
350899,Lightning
350900,Lightning
350901,Lightning
350902,Lightning
350903,Lightning
350904,Lightning
350905,Lightning
350906,Lightning
350907,Lightning
350908,Lightning
358836,Lightning
358837,Lightning
358838,Campfire
358839,Lightning
359252,Equipment Use
359253,Lightning
359726,Campfire
359727,Campfire
360227,Arson
360723,Lightning
361260,Debris Burning
361261,Lightning
361262,Lightning
361263,Miscellaneous
361825,Campfire
362396,Lightning
362397,Lightning
362398,Lightning
363425,Campfire
363426,Lightning
363427,Campfire
363428,Miscellaneous
363429,Campfire
363430,Lightning
364504,Campfire
365463,Campfire
366569,Lightning
366570,Lightning
366571,Campfire
366572,Lightning
366573,Lightning
366574,Lightning
366575,Lightning
366576,Lightning
366577,Lightning
367587,Campfire
367588,Miscellaneous
367589,Campfire
367590,Campfire
367591,Campfire
367592,Campfire
367593,Lightning
367594,Lightning
367595,Lightning
367596,Lightning
367597,Lightning
368739,Lightning
368740,Lightning
368741,Lightning
368742,Lightning
368743,Campfire
368744,Campfire
368745,Lightning
370195,Lightning
370196,Campfire
370197,Lightning
370198,Lightning
371613,Lightning
371614,Lightning
371615,Miscellaneous
371616,Equipment Use
371617,Campfire
371618,Equipment Use
371619,Campfire
371620,Arson
371621,Campfire
371622,Lightning
371623,Lightning
371624,Lightning
371625,Lightning
371626,Lightning
371627,Lightning
371628,Lightning
371629,Lightning
371630,Lightning
371631,Lightning
371632,Lightning
371633,Lightning
371634,Lightning
371635,Lightning
371636,Lightning
371637,Lightning
372579,Lightning
372580,Lightning
372581,Lightning
372582,Lightning
372583,Miscellaneous
372584,Campfire
372585,Miscellaneous
372586,Lightning
372587,Lightning
372588,Lightning
372589,Lightning
372590,Lightning
372591,Lightning
372592,Lightning
372593,Miscellaneous
373374,Lightning
373375,Miscellaneous
373376,Campfire
373377,Lightning
373378,Lightning
373379,Lightning
373380,Campfire
373381,Lightning
373382,Lightning
373383,Lightning
373384,Lightning
373385,Lightning
373386,Lightning
373387,Lightning
377436,Children
377437,Missing/Undefined
377438,Children
377439,Fireworks
377440,Debris Burning
377441,Miscellaneous
377442,Debris Burning
377443,Miscellaneous
377444,Campfire
377445,Children
377446,Campfire
377447,Campfire
377448,Campfire
377449,Structure
377450,Powerline
377451,Miscellaneous
377452,Children
377453,Equipment Use
377454,Smoking
377455,Miscellaneous
377456,Structure
377457,Powerline
377458,Miscellaneous
377459,Debris Burning
377460,Debris Burning
377461,Campfire
377462,Equipment Use
377463,Powerline
377464,Miscellaneous
377465,Debris Burning
377466,Powerline
377467,Debris Burning
377468,Miscellaneous
377469,Children
377470,Miscellaneous
377471,Miscellaneous
377472,Miscellaneous
377473,Debris Burning
377474,Debris Burning
377475,Miscellaneous
377476,Debris Burning
377477,Miscellaneous
377478,Miscellaneous
377479,Debris Burning
377480,Fireworks
377481,Debris Burning
377482,Missing/Undefined
377483,Missing/Undefined
377484,Debris Burning
377485,Equipment Use
377486,Debris Burning
377487,Debris Burning
377488,Missing/Undefined
377489,Campfire
377490,Debris Burning
377491,Debris Burning
377492,Debris Burning
377493,Debris Burning
377494,Debris Burning
377495,Miscellaneous
377496,Debris Burning
377497,Debris Burning
377498,Missing/Undefined
377499,Debris Burning
377500,Missing/Undefined
377501,Debris Burning
377502,Debris Burning
377503,Children
377504,Debris Burning
377505,Campfire
377506,Structure
377507,Missing/Undefined
377508,Debris Burning
377509,Miscellaneous
377510,Structure
377511,Debris Burning
377512,Debris Burning
377513,Campfire
377514,Debris Burning
377515,Debris Burning
377516,Campfire
377517,Structure
377518,Debris Burning
377519,Miscellaneous
377520,Missing/Undefined
377521,Debris Burning
377522,Equipment Use
377523,Children
377524,Debris Burning
377525,Equipment Use
377526,Debris Burning
377527,Debris Burning
377528,Missing/Undefined
377529,Debris Burning
377530,Campfire
377531,Campfire
377532,Debris Burning
377533,Equipment Use
377534,Campfire
377535,Structure
377536,Debris Burning
377537,Campfire
377538,Campfire
377539,Campfire
377540,Debris Burning
377541,Debris Burning
377542,Debris Burning
377543,Lightning
377544,Powerline
377545,Campfire
377546,Debris Burning
377547,Debris Burning
377548,Equipment Use
377549,Debris Burning
377550,Structure
377551,Debris Burning
377552,Debris Burning
377553,Debris Burning
377554,Debris Burning
377555,Debris Burning
377556,Campfire
377557,Campfire
377558,Debris Burning
377559,Miscellaneous
377560,Debris Burning
377561,Miscellaneous
377562,Debris Burning
377563,Debris Burning
377564,Debris Burning
377565,Campfire
377566,Campfire
377567,Miscellaneous
377568,Powerline
377569,Structure
377570,Powerline
377571,Equipment Use
377572,Debris Burning
377573,Campfire
377574,Powerline
377575,Debris Burning
377576,Debris Burning
377577,Campfire
377578,Debris Burning
377579,Debris Burning
377580,Debris Burning
377581,Powerline
377582,Debris Burning
377583,Structure
377584,Campfire
377585,Debris Burning
377586,Debris Burning
377587,Lightning
377588,Smoking
377589,Campfire
377590,Smoking
377591,Fireworks
377592,Miscellaneous
377593,Lightning
377594,Miscellaneous
377595,Miscellaneous
377596,Lightning
377597,Lightning
377598,Lightning
377599,Debris Burning
377600,Smoking
377601,Campfire
377602,Equipment Use
377603,Campfire
377604,Debris Burning
377605,Debris Burning
377606,Debris Burning
377607,Debris Burning
377608,Debris Burning
377609,Debris Burning
377610,Debris Burning
377611,Children
377612,Debris Burning
377613,Debris Burning
377614,Debris Burning
377615,Arson
377616,Miscellaneous
377617,Miscellaneous
377618,Missing/Undefined
377619,Missing/Undefined
377620,Debris Burning
377621,Smoking
377622,Lightning
377623,Lightning
377624,Lightning
377625,Lightning
377626,Structure
377627,Debris Burning
377628,Equipment Use
377629,Debris Burning
377630,Debris Burning
377631,Campfire
377632,Powerline
377633,Debris Burning
377634,Powerline
377635,Equipment Use
377636,Debris Burning
377637,Structure
377638,Debris Burning
377639,Debris Burning
377640,Debris Burning
377641,Structure
377642,Equipment Use
377643,Debris Burning
377644,Debris Burning
377645,Powerline
377646,Structure
377647,Miscellaneous
377648,Structure
377649,Debris Burning
377650,Miscellaneous
377651,Debris Burning
377652,Debris Burning
377653,Debris Burning
377654,Debris Burning
377655,Debris Burning
377656,Debris Burning
377657,Miscellaneous
377658,Equipment Use
377659,Miscellaneous
377660,Equipment Use
377661,Debris Burning
377662,Campfire
377663,Debris Burning
377664,Debris Burning
377665,Smoking
377666,Equipment Use
377667,Powerline
377668,Debris Burning
377669,Children
377670,Debris Burning
377671,Campfire
377672,Miscellaneous
377673,Powerline
377674,Powerline
377675,Debris Burning
377676,Miscellaneous
377677,Lightning
377678,Debris Burning
377679,Campfire
377680,Equipment Use
377681,Debris Burning
377682,Miscellaneous
377683,Equipment Use
377684,Miscellaneous
377685,Powerline
377686,Debris Burning
377687,Powerline
377688,Miscellaneous
377689,Lightning
377690,Lightning
377691,Debris Burning
377692,Miscellaneous
377693,Powerline
377694,Campfire
377695,Smoking
377696,Smoking
377697,Miscellaneous
377698,Structure
377699,Debris Burning
377700,Powerline
377701,Debris Burning
377702,Debris Burning
377703,Debris Burning
377704,Miscellaneous
377705,Debris Burning
377706,Debris Burning
377707,Debris Burning
377708,Miscellaneous
377709,Debris Burning
377710,Powerline
377711,Powerline
377712,Debris Burning
377713,Campfire
377714,Powerline
377715,Debris Burning
377716,Powerline
377717,Equipment Use
377718,Powerline
377719,Structure
377720,Structure
377721,Powerline
377722,Fireworks
377723,Debris Burning
377724,Powerline
377725,Structure
377726,Powerline
377727,Miscellaneous
377728,Debris Burning
377729,Miscellaneous
377730,Miscellaneous
377731,Debris Burning
377732,Debris Burning
377733,Miscellaneous
377734,Campfire
377735,Structure
377736,Debris Burning
377737,Powerline
377738,Miscellaneous
377739,Debris Burning
377740,Debris Burning
377741,Miscellaneous
377742,Structure
377743,Debris Burning
377744,Children
377745,Equipment Use
377746,Debris Burning
377747,Debris Burning
377748,Debris Burning
377749,Debris Burning
377750,Equipment Use
377751,Children
377752,Children
377753,Debris Burning
377754,Debris Burning
377755,Debris Burning
377756,Debris Burning
377757,Debris Burning
377758,Equipment Use
377759,Campfire
377760,Debris Burning
377761,Debris Burning
377762,Debris Burning
377763,Miscellaneous
377764,Miscellaneous
377765,Campfire
377766,Children
377767,Debris Burning
377768,Campfire
377769,Miscellaneous
377770,Debris Burning
377771,Debris Burning
377772,Campfire
377773,Debris Burning
377774,Miscellaneous
377775,Smoking
377776,Smoking
377777,Equipment Use
377778,Miscellaneous
377779,Campfire
377780,Debris Burning
377781,Smoking
377782,Debris Burning
377783,Debris Burning
377784,Children
377785,Children
377786,Debris Burning
377787,Powerline
377788,Debris Burning
377789,Debris Burning
377790,Debris Burning
377791,Debris Burning
377792,Debris Burning
377793,Debris Burning
377794,Campfire
377795,Equipment Use
377796,Debris Burning
377797,Children
377798,Children
377799,Powerline
377800,Miscellaneous
377801,Debris Burning
377802,Debris Burning
377803,Debris Burning
377804,Children
377805,Equipment Use
377806,Debris Burning
377807,Powerline
377808,Debris Burning
377809,Debris Burning
377810,Debris Burning
377811,Debris Burning
377812,Debris Burning
377813,Structure
377814,Debris Burning
377815,Fireworks
377816,Equipment Use
377817,Debris Burning
377818,Debris Burning
377819,Miscellaneous
377820,Debris Burning
377821,Miscellaneous
377822,Equipment Use
377823,Fireworks
377824,Miscellaneous
377825,Campfire
377826,Debris Burning
377827,Campfire
377828,Missing/Undefined
377829,Campfire
377830,Miscellaneous
377831,Fireworks
377832,Campfire
377833,Campfire
377834,Debris Burning
377835,Campfire
377836,Campfire
377837,Debris Burning
377838,Powerline
377839,Miscellaneous
377840,Campfire
377841,Powerline
377842,Lightning
377843,Debris Burning
377844,Lightning
377845,Debris Burning
377846,Powerline
377847,Debris Burning
377848,Lightning
377849,Miscellaneous
377850,Debris Burning
377851,Debris Burning
377852,Debris Burning
377853,Debris Burning
377854,Equipment Use
377855,Campfire
377856,Debris Burning
377857,Arson
377858,Debris Burning
377859,Debris Burning
377860,Debris Burning
377861,Debris Burning
377862,Debris Burning
377863,Missing/Undefined
377864,Campfire
377865,Lightning
377866,Missing/Undefined
377867,Campfire
377868,Lightning
377869,Debris Burning
377870,Campfire
377871,Campfire
377872,Lightning
377873,Lightning
377874,Debris Burning
377875,Debris Burning
377876,Debris Burning
377877,Powerline
377878,Campfire
377879,Campfire
377880,Campfire
377881,Campfire
377882,Campfire
377883,Campfire
377884,Miscellaneous
377885,Missing/Undefined
377886,Campfire
377887,Campfire
377888,Campfire
377889,Structure
377890,Campfire
377891,Structure
377892,Structure
377893,Debris Burning
377894,Lightning
377895,Lightning
377896,Debris Burning
377897,Campfire
377898,Lightning
377899,Lightning
377900,Lightning
377901,Debris Burning
377902,Lightning
377903,Debris Burning
377904,Lightning
377905,Lightning
377906,Lightning
377907,Lightning
377908,Debris Burning
377909,Lightning
377910,Lightning
377911,Lightning
377912,Lightning
377913,Lightning
377914,Lightning
377915,Arson
377916,Miscellaneous
377917,Lightning
377918,Children
377919,Powerline
377920,Lightning
377921,Lightning
377922,Campfire
377923,Missing/Undefined
377924,Arson
377925,Missing/Undefined
377926,Campfire
377927,Debris Burning
377928,Smoking
377929,Debris Burning
377930,Arson
377931,Powerline
377932,Structure
377933,Debris Burning
377934,Campfire
377935,Missing/Undefined
377936,Fireworks
377937,Lightning
377938,Equipment Use
377939,Equipment Use
377940,Children
377941,Children
377942,Missing/Undefined
377943,Debris Burning
377944,Lightning
377945,Campfire
377946,Children
377947,Equipment Use
377948,Missing/Undefined
377949,Missing/Undefined
377950,Smoking
377951,Debris Burning
377952,Children
377953,Miscellaneous
377954,Missing/Undefined
377955,Fireworks
377956,Powerline
377957,Missing/Undefined
377958,Lightning
377959,Lightning
377960,Campfire
377961,Debris Burning
377962,Debris Burning
377963,Structure
377964,Lightning
377965,Structure
377966,Lightning
377967,Arson
377968,Debris Burning
377969,Campfire
377970,Lightning
377971,Lightning
377972,Structure
377973,Lightning
377974,Campfire
377975,Debris Burning
377976,Campfire
377977,Fireworks
377978,Smoking
377979,Powerline
377980,Lightning
377981,Powerline
377982,Campfire
377983,Powerline
377984,Children
377985,Powerline
377986,Debris Burning
